N	F0	m	d_ms	d0	v0	prob	collision	Int_dv1	Int_dv2	Int_dv3	Int_dv4	Int_dv5	Int_dv6	Int_dv7	Int_dd2	Int_dd3	Int_dd4	Int_dd5	Int_dd6	Int_dd7	duration	freq	ampl	attack	Fresponse
8	800	1000	1	8	59	0.01	0	61.251774	99.109644	42.934331	23.489371	8.959096	8.160727	7.623712	258.754809	401.237152	152.182129	124.843777	11.156974	11.515689	2.051057	2.413752	1.666509	1	-8602
8	800	1000	1	6	97	0.01	0	81.773568	132.149613	97.913216	55.600851	21.686296	16.182710	12.696782	348.233456	248.873337	334.560034	266.989852	47.695598	34.406001	1.851271	1.788119	2.605869	1	-7911
8	800	1000	1	9	81	0.01	0	102.922954	148.449668	57.667805	51.384775	14.498775	12.856372	11.963264	312.556840	676.458273	60.259309	317.307055	24.095475	29.191516	3.533454	1.856975	4.033586	1	-8870
8	800	1000	1	8	51	0.01	0	38.990095	28.355881	16.759843	12.791627	7.724343	8.150623	6.858842	108.425602	91.101501	27.643986	44.167652	4.738737	14.714950	1.567443	0.803781	2.228065	1	-9389
8	800	1000	1	5	52	0.01	0	79.963505	120.095539	52.514642	55.836861	8.140078	8.563820	6.748771	285.519358	486.719615	57.580498	432.905579	7.002885	16.758471	4.789297	1.516678	2.073016	1	-9278
8	800	1000	1	7	86	0.01	0	97.193107	190.374229	172.841438	169.339230	140.834250	116.159122	61.901673	1482.155287	1091.422789	284.239082	1485.756283	1222.985494	658.789428	2.793826	0.664830	1.080096	1	-5223
8	800	1000	1	8	51	0.01	0	30.379679	24.206478	16.654945	13.686239	9.560875	9.524970	8.767310	76.744638	66.745841	20.551443	40.141310	5.366171	9.832823	1.285409	0.596240	3.264245	1	-7696
8	800	1000	1	8	68	0.01	0	90.155067	135.549171	44.996114	47.575511	9.904073	8.244192	5.700773	302.448358	643.463118	31.228186	307.720456	18.391624	27.364298	3.975497	0.845112	0.881375	1	-9623
8	800	1000	1	8	90	0.01	0	76.238993	110.532034	41.389442	28.696364	14.310178	13.036486	9.977980	233.203150	493.554150	97.653124	124.129306	14.782764	31.356699	0.243410	0.539155	2.822993	1	-9256
8	800	1000	1	6	50	0.01	0	42.195661	33.494539	15.511496	11.743784	6.255141	7.214638	5.497244	85.425531	139.665821	27.603201	40.169225	7.190048	15.951411	0.888827	1.666781	1.757561	1	-9173
8	800	1000	1	5	51	0.01	0	64.298975	92.265552	41.478438	30.677156	7.636437	7.412418	6.849842	191.097501	378.357267	74.171782	203.017077	9.345598	10.803973	2.886691	2.871581	2.024812	1	-6501
8	800	1000	1	9	60	0.01	0	37.266108	25.928098	19.322881	16.959651	12.322694	12.552269	11.799931	121.770784	56.524185	19.126664	47.306288	2.689703	11.766971	0.830955	0.665450	4.312647	1	-9396
8	800	1000	1	6	79	0.01	0	46.037065	64.016255	28.508136	24.422550	16.361299	13.199880	11.567209	124.507924	265.268330	27.315865	73.406491	32.376399	21.122766	0.629075	0.504285	3.677480	1	-6350
8	800	1000	1	9	99	0.01	0	86.551096	135.485260	79.854678	52.154242	17.732283	12.305932	9.371997	338.863923	410.049974	216.605293	256.471977	52.748617	33.851164	4.330656	1.396136	2.294671	1	-9369
8	800	1000	1	9	92	0.01	0	22.697349	38.814150	23.361083	16.170753	11.454435	11.136298	9.318548	163.885671	128.825479	55.350464	44.775782	5.000188	20.204477	1.070818	0.308249	1.091357	1	-4729
8	800	1000	1	8	98	0.01	0	92.204718	136.789738	79.086964	49.531773	21.579068	18.809956	15.812640	301.270499	425.151958	219.903313	223.429182	30.875497	32.800065	1.688571	2.166030	3.600162	1	-9597
8	800	1000	1	5	94	0.01	0	94.474355	180.472141	82.007987	68.464279	13.487188	10.342715	9.471168	647.554891	757.399617	114.409527	450.950203	38.864283	17.679289	3.504593	1.293915	1.168401	1	-9529
8	800	1000	1	9	92	0.01	0	36.274221	56.027562	59.541836	43.312460	31.531583	20.338875	12.058253	138.178505	73.644469	120.671872	98.179586	86.856099	63.679909	2.909571	0.606595	1.307657	1	-4054
8	800	1000	1	5	62	0.01	0	91.814158	141.134179	37.797471	65.576657	9.671489	8.687642	7.297504	336.980992	746.216626	233.166465	488.433712	13.212155	17.431013	4.971737	1.293207	2.139897	1	-9712
8	800	1000	1	7	56	0.01	0	39.123281	32.071362	26.558167	17.947534	12.793308	13.900293	12.450862	72.214467	56.745069	61.700148	59.090507	13.248187	21.153667	1.350609	1.835557	4.644444	1	-7952
8	800	1000	1	5	66	0.01	0	91.090545	162.871756	77.020671	61.959210	14.700283	9.543215	7.117116	544.032094	644.422172	169.496985	452.179331	66.243306	29.889420	3.221512	1.255681	1.112918	1	-6338
8	800	1000	1	9	50	0.01	0	40.465608	79.679248	47.253768	27.696929	9.619353	7.383399	6.482341	292.059865	244.381743	147.740357	149.603496	21.963780	10.723422	2.831510	1.470125	1.533296	1	-4235
